,Youtube,judul,paragrap,photo,tanggal
0,,Menanti Android Q dan Pixel 3a di Google I/O 2019,"KOMPAS.com - Google I/O merupakan sebuah ajang konferensi developer tahunan yang digelar olah  Google di kompleks kantornya di kawasan Moutain View, Amerika Serikat.Biasanya, Google I/O turut menjadi panggung perkenalan sistem operasi Android versi teranyar, berikut inovasi-inovasi terkini lainnya dari sang tuan rumah.Nah, untuk tahun 2019 ini, KompasTekno kembali mendapat kesempatan untuk berkunjung langsung ke panggung Google I/O di Shoreline Amphitheater yang berdekatan dengan kantor Google di Mountain View.Sejumlah hal baru kabarnya akan diperkenalkan dalam Google I/O 2019, mulai dari  Android Q, ponsel Google  Pixel 3a, hingga game streaming Stadia. Berikut ini daftarnya, sebagaimana dirangkum KompasTekno dari Cnet, Senin (6/5/2019). Android QGoogle memang kerap memperkenalkan OS Android terbar dalam gelaran tahunan Google I/O. Untuk tahun 2019 ini, versi yang akan diperkenalkan adalah Android Q sebagai kelanjutan dari Android P alias ""Pie"" yang dirilis tahun lalu. Baca juga: Google I/O 2019 Digelar Mei, Android Q Dikenalkan? Belum diketahui apa julukan untuk Android Q. Biasanya OS Android disebut sesuai nama cemilan manis yang huruf awalnya sama dengan huruf di akhiran nama si sistem operasi, seperti ""Pie"" untuk Android ""P"" tadi. Google AssistantSelain Android Q, Google juga seringkali memperkenalkan fitur-fitur baru untuk Google Assistant dalam ajang I/O. Tahun lalu, Google merilis suara-suara baru pada Assistant, termasuk menyisipkan suara musisi John Legend. Google Google Assistant dalam Bahasa Indonesia.Ada pula fitur di mana Google Assistant mengharuskan anak-anak yang menggunakan layanannya untuk mengatakan ""tolong"" ketika memberikan perintah pada Assistant. Selain itu, pada 2018 lalu Assistant juga mendapat sejumlah pembaruan yang membuatnya dapat berinteraksi selayaknya manusia biasa. Oleh karenanya, fitur-fitur baru Google Assistant yang akan dirilis tahun ini sangat layak untuk dinanti. Augmented Reality dan Virtual RealityTiga tahun lalu, Google memperkenalkan sebuah platform Virtual Reality bernama DayDream dalam gelaran I/O kala itu. Platform tersebut memungkinkan pengguna mengubah ponsel mereka menjadi sebuah mesin VR dan dapat digunakan dengan headset khusus.",https://asset.kompas.com/crop/81x0:666x390/750x500/data/photo/2013/11/27/2138413google-2780x390.jpg,06/05/2019
1,,"Dari Samsung hingga Oppo, Ini Deretan Ponsel 5G yang Hadir di 2019","KOMPAS.com - Teknologi jaringan  seluler generasi kelima atau  5G sudah di depan mata. Para vendor  smartphone pun mulai merilis  ponsel pintar yang sudah dibekali dengan dukungan 5G.Beberapa model sudah mulai dipasarkan di negara-negara yang memiliki jaringan 5G, misalnya Swiss dan Korea Selatan.Pabrikan yang telah menjual smartphone 5G termasuk Samsung (Galaxy S10 5G), Xiaomi (Mi Mix 3 5G), Huawei (Mate 20 X), dan Oppo (Oppo Reno 5G).Baca juga: Galaxy S10 Versi 5G Meluncur, S10 Ditempel 5G Saja?Vendor lain memastikan akan segera menyusul dengan produk ponsel 5G masing-maing, seperti LG (LG V50 ThinQ 5G), Huawei (Mate X), OnePlus (OnePlus 7 Pro), dan ZTE (ZTE Axon 10).
Ada juga sebagian yang disinyalir sedang menyiapkan perangkat serupa, tapi masih belum dapat dipastikan. Mayoritas produk ponsel 5G ditenagai oleh pasangan System-on-Chip (SoC) Qualcomm Snapdragon 855 dan modem 5G Snapragon X50.
Namun ada juga yang menggunakan rangkaian chip buatan sendiri, seperti Huawei dengan SoC Kirin 980 dan modem 5G Balong 5000, dan Samsung yang mengandalkan paduan SoC Exynos 9820 dan modem 5G Exynos 5100.Baca juga: Huawei, Xiaomi, dan Oppo Serentak Jual Smartphone 5G Pertama di SwissNah, siapa saja yang akan menghadirkan ponsel 5G di 2019 dan kapan waktu rilisnya di pasaran? Silakan simak dalam daftar di bawah yang dihimpun KompasTekno dari Phone Arena, Senin (6/5/2019).
1. Samsung Galaxy S10 5G (5 April, 1,39 juta won atau sekitar Rp 17 juta)2. Oppo Reno 5G (1 Mei, 999 franc Swiss atau sekitar Rp 14 juta)3. Xiaomi Mi Mix 3 5G (2 Mei, 847 franc Swiss atau sekitar Rp 11,8 juta)4. Huawei Mate 20 X (2 Mei, 997 franc Swiss atau sekitar Rp 13,9 juta).5. LG V50 ThinQ 5G (10 Mei, berkisar 1,2 juta won atau sekitar Rp 14,6 juta)6. OnePlus 7 Pro (14 Mei, berkisar 699 Euro atau sekitar Rp 11,1 juta)7. ZTE Axon 10 Pro 5G (16 Mei, berkisar 69.990 Rupee atau sekitar Rp 14,4 juta)8. Huawei Mate X (sekitar bulan Juli, 2.299 Euro atau sekitar Rp 36,4 juta)9. HTC 5G Phone (Belum ada informasi)10. Sony 5G Phone (Belum ada informasi)",https://asset.kompas.com/crop/0x0:940x627/750x500/data/photo/2019/05/03/802884764.jpg,06/05/2019
2,https://www.youtube.com/embed/bKNFooao3GA,"Vivo S1 Pro Resmi Meluncur, Bedanya dengan S1 Reguler?","KOMPAS.com -  Vivo kembali merilis seri baru dari lini Vivo ""S1"". Setelah meluncurkan Vivo S1 bulan Maret lalu, vendor asal China itu menelurkan versi ""Pro"".
 Vivo S1 Pro membawa peningkatan di sektor chipset. Berbeda dengan Vivo S1 biasa yang menggunakan chipset MediaTek Helio P70, versi Pro dibekali chip Snapdragon 675.
Untuk ukuran layar, sejatinya layar Vivo S1 Pro lebih kecil dibanding Vivo S1 reguler yang memiliki bentang 6,53 inci panel IPS LCD. Vivo S1 Pro memiliki bentang layar 6,39 inci dengan panel Super AMOLED.
Rasio layarnya 19,5:9 dengan rasio bodi ke layar mencapai 91,64 persen dan beresolusi full HD Plus. Sama seperti versi reguler, layar Vivo S1 Pro bersih tanpa ""notch"" atau poni.Baca juga: Ponsel Tiga Kamera Vivo Y17 Mulai Dijual di Indonesia 
Vivo S1 Pro memiliki opsi kapasitas memori lebih besar, mencakup RAM 6 dan 8 GB dengan opsi media internal paling besar berkapasitas 256 GB. Di bagian belakang dibekali tiga kamera, sama seperti versi reguler, namun dengan konfigurasi berbeda.
Kamera utama beresolusi 48 megapiksel dengan lensa f/1.78, kamera 8 megapiksel dengan lensa wide-angle bukaan (f/2.2), dan terakhir kamera 5 megapipksel lensa f/2.4 sebagai sensor kedalaman bidang.Kamera depan Vivo S1 Pro dioperasikan dengan mekanisme pop-up naik-turun. resolusi kamera depan Vivo S1 Pro sendiri adalah 32 megapiksel.
Konfigurasi kamera belakang dan depan ini meningkat dibanding Vivo S1 biasa. Terutama di kamera utama yang hanya berbekal resolusi 12 megapiksel, serta kamera selfie yang beresolusi 25 megapiksel.
Berbanding terbalik dengan sektor kamera, baterai Vivo S1 biasa justru kebih besar, yakni berkapasitas 3.940 mAh. Sementara Vivo S1 Pro hanya dibekali baterai 3.700 mAh. Perangkat ini dijalankan dengan sistem operasi Android 9 Pie dilapisi antarmuka FunTouch OS 9.
Dirangkum KompasTekno dari Gizmo China, Senin (6/5/2019), Vivo S1 Pro juga dibekali mesin akselerasi Multi-Turbo untuk memberikan pengalaman gaming lebih mumpuni.Baca juga: Tidak Punya Tombol dan Colokan, Bagaimana Cara Pakai Ponsel Vivo Apex?Ada pula smart assistant Joi AI yang bisa ""dipanggil"" dengan menekan tombol khusus layaknya tombol Bixby pada Samsung.
Ponsel ini juga menyediakan dua slot kartu SIM dengan koneksi LTE, dan colokan headphone 3,5 mm.
Ada dua model kapasitas yang bisa dipilih, yakni RAM 8 GB dengan internal 128 GB; dan RAM 6 GB dengan internal 256 GB. Keduanya dibanderol dengan harga sama, yakni 2.698 yuan (sekitar Rp 5,7 juta). Warna yang bisa dipilih adalah Love Blue (biru) dan Coral Red (merah).Vivo S1 Pro dipasarkan di China mulai 9 Mei 2019. Belum diketahui apakah Vivo S1 Pro juga akan dijual di Indonesia atau tidak.",https://asset.kompas.com/crop/21x15:729x487/750x500/data/photo/2019/05/06/2945028000.png,06/05/2019
3,,Indosat Ooredoo Tunjuk Ahmad Abdulaziz Al Neama sebagai CEO Baru,"KOMPAS.com -  Indosat Ooredoo resmi menunjuk Ahmad Abdulaziz Al Neama sebagai  CEO baru. Al Neama menggantikan posisi Chris Kanter yang dikabarkan mundur sebelumnya.
Dari keterangan resmi yang diterima KompasTekno, Senin (6/5/2019),  Indosat mengklaim Chris Kanter telah melengkapi proses formalitas yang diperlukan. Tidak diungkapkan apakah status Chris Kanter mengundurkan diri dari jabatannya atau karena hal lain.Baca juga: Chris Kanter Dipastikan Tak Lagi Jabat Dirut Indosat
""Bapak Chris Kanter telah menyelesaikan masa transisi kepemimpinan, dimana beliau telah berhasil memulai program transformasi digital perusahaan serta berhasil mencapai kinerja perusahaan yang baik di kuartal 4 tahun 2018 dan kuartal 1 tahun 2019,"" sebut Indosat.
Ooredoo CEO baru Indosat Ooredoo Ahmad Abdulaziz Al NeamaDisebutkan pula bahwa Chris Kanter akan tetap menjabat sebagai direktur utama hingga Rapat Umum Pemegang Saham (RUPS) dilakukan.Setelahnya, Kanter akan dicalonkan kembali menjadi anggota dewan komisaris.
""Atas nama Dewan Komisaris Indosat Ooredoo, saya ingin menyampaikan terima kasih kepada Bapak Chris Kanter yang telah menyelesaikan masa transisi kepemimpinan,"" ungkap Komisaris Utama Indosat Ooredoo, Waleed Mohamed Ebrahim Al-Sayed.Dia menambahkan, Chris Kanter dinilai telah berhasil memulai program transformasi digital perusahaan selama masa kepemimpinannya yang hanya hitungan bulan. Baca juga: Indosat Anggarkan Rp 10 Triliun Agar Jaringannya Tidak ""Lemot""
Sebelum didapuk menjadi CEO baru Indosat Ooredoo, Al Neama merupakan karyawan Ooredoo yang telah bekerja selama 15 tahun. Pria berkewarganegaraan Qatar itu pernah menjabat sebagai Anggota Dewan Komisaris Indosat Ooredoo, dan saat ini menjabat sebagai Anggota Dewan Direksi Ooredoo di Myanmar. Terakhir, Al Neama menjabat sebagai Chief Technology & Information Officer di Ooredoo Group sejak 2017.",https://asset.kompas.com/crop/0x83:1000x750/750x500/data/photo/2018/11/20/3628508417.jpeg,06/05/2019
4,,DJI Siapkan Kamera Aksi Pesaing Go Pro?,"KOMPAS.com - DJI dikenal sebagai pabrikan  drone andal dan sejumlah produk lain seperti gimbal stabilizer. Belakangan muncul kabar bahwa perusahaan asal China ini berminat melebarkan sayap ke ranah  kamera aksi. Akun Twitter @OsitaLV yang kerap kali membocorkan informasi soal calo perangkat baru DJI, misalnya, menyatakan memang ada rumor bahwa DJI sedang menyiapkan produk action camera ala Go Pro.""Secara teknis tak ada masalah, bisa mengemas ulang Osmo Pocket dengan lensa super-wide angle,"" kicau @OsitaLV dalam sebuah tweet.

I heard some rumors about a new DJI action camera to compete with GoPro.Technically there is no problems, by repackaging OSMO Pocket with super-wide angle lenses.True or not?What about OSMO Pocket if this thing really came out?
— OsitaLV (@OsitaLV) April 24, 2019
Baca juga: DJI Perkenalkan Osmo Pocket, Kamera ""Gimbal"" Seukuran Telapak TanganOsmo Pocket merupakan produk kamera ringkas DJI yang dibekali stabilizer dengan 2-axis gimbal.  Unit kamera Osmo pocket bertengger di atas sebuah pegangan (grip) yang memiliki layar untuk membidik gambar berikut sejumlah tombol kendali.Meski bisa menghasilkan footage mulus berkat fitur stabilizer, tentu saja Osmo Pocket bukan kamera aksi karena tidak menawarkan ketangguhan seperti, misalnya, Go-Pro Hero 7 Black yang tahan air hingga 10 meter tanpa casing khusus.Beredar pula sebuah bocoran gambar yang disinyalir memperihatkan sosok kamera aksi buatan DJI, seperti bisa dilihat dalam tweet di bawah. Sang perangkat tampak berbentuk kotak dengan lensa berukuran besar, mirip kamera-kamera aksi bikinan  Go Pro dan perusahan lain. 

This probably? pic.twitter.com/r2J7haeG8u
— AbuCelal (@AbuCelal) April 24, 2019
Baca juga: GoPro Hero 7 Mulai Dijual di Indonesia Oktober, Harganya?Namun, desain dan spesifikasi kamera aksi DJI ini masih belum jelas. Itu pun kalau ia benar ada. Sebagaimana dirangkum KompasTekno dari Pocket Lint, Senin (6/5/2019), DJI mungkin akan menjual kamera aksinya seharga 350 dollar AS atau sekitar Rp 5 juta, atau lebih kurang setara dengan harga kamera ringkas Osmo Mobile bikinannya.Benarkah demikian? Kita tunggu saja pengumuman resminya dari DJI.",https://asset.kompas.com/crop/65x0:882x545/750x500/data/photo/2018/11/29/2019776434.jpg,06/05/2019
5,https://www.youtube.com/embed/NA94oO5S1Ss,"Ada Filter dan GIF Bertema Ramadhan di Instagram Stories, Begini Cara Pakainya","KOMPAS.com - Memeriahkan  Ramadhan,  Instagram merilis  filter dan  GIF baru bertema bulan suci untuk umat Muslim tersebut. Ini merupakan pertama kalinya Instagram meluncurkan filter bertema Ramadhan yang bisa digunakan semua penggunanya di seluruh dunia.
Pengguna Instagram bisa menggunakan filter bernama ""Lantern"" tersebut mulai 5 Mei hingga 5 Juni 2019. Caranya, buka kamera Instagram Stories. Kemudian, klik ikon filter wajah yang ada di pojok kanan bawah. Kemudian pilih filter ""Lantern"".
Tahan tombol kamera untuk merekam video atau ketuk sekali untuk mengambil foto. Pengguna bisa meengganti desain yang tersedia dengan mengetuk bagian tengah layar.Baca juga: Begini Cara Pakai Stiker Kuis di Instagram Stories
Tidak hanya itu, khusus bagi pengguna Instagram di Indonesia, ada pula GIF edisi khusus Ramadhan, hasil kolaborasi dengan lima kreator Indonesia yakni thepopo, byputy, Dinda Puspitasari, Irfan Nugroho alias bulletos, dan Haikal.
GIF edisi khusus ini bisa ditemukan dengan mengetik ""Ramadhan Instagram"" di kolom pencarian GIF.
Nantinya akan muncul beberapa GIF berisi kata-kata khas Ramadhan seperti ""Buka"", ""Sahur"" hingga kata-kata edisi lebaran seperti ""Eid Mubarak"" dan ""Mohon Maaf Lahir dan Batin"".
Instagram GIF Instagram Stories edisi Ramadhan
""Kami melihat penggunaan hashtag # ramadhan dan #bukber melonjak tinggi di Indonesia tahun lalu,"" ujar Putri Silalahi, Communications Manager, Instagram Asia-Pacific dalam keterangan resmi yang diterima KompasTekno, Senin (6/5/2019).
""Maka kami ingin membuat interaksi tersebut menjadi lebih mudah dan menyenangkan lagi di tahun ini lewat filter dan GIF khusus di Instagram Stories,"" imbuhnya.
Dari rekaman data per Januari - Juni 2018, Instagram mengklaim adanya lonjakan volume Instagram Stories pada bulan Ramadhan di tanah air. Baca juga: Instagram Stories Bakal Bisa ""Posting"" Tulisan Tanpa Foto Atau VideoInstagram merekam 28% peningkatan volume penggunaan Instagram Stories di bulan Ramadhan dibandingkan dengan bulan-bulan sebelumnya.
Peingkatan juga terjadi untuk beberapa tagar populer terkait Ramadhan dan lebaran. Lima tagar tertas yang paling banyak dicari pengguna Instagram Indonesia adalah #bukber, #bajukoko, #gamissyari, #bajulebaran, dan #ramadhan.
Apakah filter dan GIF edisi Ramadhan Instagram menarik dicoba? Cek dulu di Instagram Kompas.tekno berikut.",https://asset.kompas.com/crop/0x59:800x593/750x500/data/photo/2019/05/06/1404698069.png,06/05/2019
6,,2 Startup Indonesia Bakal Tampil di Future Makers 2019 di Singapura,"KOMPAS.com - Dua start-up dari The NextDev Academy  Telkomsel akan mewakili Indonesia di kompetisi prestisius regional Asia-Pasifik, Future Makers 2019, yang digelar oleh Singtel Group.
Kedua startup asal Indonesia ini, FishGo dan DiffaGo, telah terpilih melalui tahapan assessment dan bootcamp di program The NextDev Academy 2019 yang digelar selama 6 bulan.Future Makers adalah ajang inovasi sosial yang digelar oleh Singtel 4 bulanan sekali yang bertujuan untuk mencari startup potensial dari berbagai sektor.
Denny Abidin, selaku GM External Corporate Communications Telkomsel, pun mengucapkan selamat dan menyampaikan harapannya kepada kedua start-up yang telah dipilih untuk mewakili Indonesia di ajang bergengsi level Asia-Pasifik itu.
""Selamat kepada FishGo dan DiffaGo yang terpilih sebagai wakil Indonesia di Future Makers 2019,” ujar Denny dalam keterangan tertulis yang diterima KompasTekno, Senin (6/5/2019).Baca juga: Startup di Asia Tenggara Semakin Seksi di Mata Investor
""Semoga pada perhelatan Future Makers nanti, start-up terpilih ini dapat membuktikan bahwa karya anak bangsa Indonesia memiliki potensi yang besar untuk memberikan kemanfaatan bahkan untuk masyarakat global, sekaligus semakin mengharumkan nama Indonesia di mata dunia,” imbuhnya.
Secara lebih detail, start-up FishGo terpilih lantaran aplikasi besutannya dinilai mampu mempermudah nelayan mencari ikan serta membantu meningkatkan penghasilan nelayan.
Hal itu bisa terwujud dengan mengkombinasikan teknologi penginderaan jauh dan sistem inovasi geografis sebagai penyedia sumber data bagi nelayan
Sementara start-up DiffaGo membuat aplikasi yang dinilai mampu untuk membantu kaum disabilitas melalui proyek urunan dana atau media crowdfunding.
Lewat aplikasi itu, seperti namanya, siapa pun bisa mendonasikan uangnya untuk membantu kaum disabilitas. 
Dana yang telah dikumpulkan itu nantinya akan disalurkan dalam berbagai proyek sosial terkait kaum disabilitas, mulai dari pengadaan kaki palsu, hingga mendirikan sekolah khusus untuk anak dengan autisme.Baca juga: 2 Startup Jebolan The NextDev Unjuk Gigi di Depan VC Singapura
Terkait ajang Future Makers 2019 yang digelar oleh Singtel Group, kompetisi ini akan dilaksanakan di Singapura pada 24-28 Juni 2019.
Kompetisi ini sendiri diikuti oleh perwakilan dari berbagai negara, yang dipilih melalui kompetisi lokal yang diselenggarakan oleh seluruh operator telekomunikasi di bawah aliansi Singtel Group, yaitu Telkomsel (Indonesia), Optus (Australia), Singtel (Singapura), Globe (Filipina), AIS (Thailand), Airtel (India).
Nantinya, beberapa start-up terpilih akan mendapatkan dana pengembangan dengan nilai hingga SGD 1.000.000 atau setara dengan Rp 10,4 miliar.",https://asset.kompas.com/crop/0x0:1950x1300/750x500/data/photo/2019/05/06/3513368210.jpg,06/05/2019
7,,"iPhone 2019 Bakal Lebih Baik dalam Hal Navigasi ""Indoor""","KOMPAS.com - Desas-desus kehadiran  iPhone 2019 semakin banyak bermunculan. Setelah beredar bocoran desainnya, kini giliran bocoran fitur dalam iPhone 2019 yang beredar. Fitur  navigasi dalam iPhone 2019 disinyalir bakal lebih baik lagi, khususnya ketika di dalam ruangan (indoor). Kabar ini dihembuskan Ming-Chi Kuo, analis sekuritas yang kerap tepat menerka model iPhone terbaru sebelum dirilis.
Kuo menyebut ada pergantian pemasok struktur  antena yang membawa teknologi lebih baru. Struktur antena PI dengan modifikasi terbaru, yang sebelumnya pernah ia ungkap pada 2018 lalu.
Dalam lini iPhone 2018, yakni iPhone XS, iPhone XS max, dan iPhone XR, teknologinya terbatas menggunakan antena liquid crystal polymer (LCP). Masalah produksi antena LCP ini kemudian menyebabkan masalah dalam transmisi seluler frekuensi tinggi.Baca juga: Pasaran iPhone Jatuh, Smartphone Huawei Justru Naik JauhDengan struktur antena baru yang telah dimodifikasi ini, diharapkan bisa meningkatkan kinerja iPhone, khususnya pada navigasi dalam ruangan.
Ongkos produksi antena baru ini tidak murah. Artinya, biaya produksi akan membengkak dan bisa berimbas ke konsumen. Kuo menyebut kenaikan ongkos karena penggunaan antena baru itu bisa mencapai 10-20 persen, karena peningkatan ultra-wideband.
Dilansir KompasTekno dari 9to5Mac, Senin (6/5/2019), Kuo juga mengatakan bahwa teknologi antena baru itu secara esensial akan sama saja dengan LCP ketika berada di jaringan 4G LTE.
Kuo pun menyinggung iPhone 2020 yang akan ditunjang konektivitas 5G dan nantinya akan kembali ke teknologi antena LCP.
Kuo sempat memperkirakan bahwa Apple akan menggunakan chip modem 5G dari Samsung dan Qualcomm. Dengan iPhone 5G, Kuo mengatakan pengapalan iPhone 2020 akan terdongkrak sekitar 200 juta unit.",https://asset.kompas.com/crop/0x136:5120x2696/780x390/data/photo/2019/04/29/1651519688.jpg,06/05/2019
8,,"Bocoran Awal Huawei Mate 30 Pro, Empat Kamera dan Layar Berlubang","KOMPAS.com - Penerus ponsel flagship  Huawei Mate 20 Pro, yaitu Mate 30 Pro dikabarkan bakal dibekali dengan empat kamera belakang dan layar berlubang ala Samsung Galaxy S10.
Kabar ini berasal dari sumber dalam industri yang membeberkan spesifikasi ponsel seri Mate terbaru itu ke ranah maya.
Meski hanya sekelumit, namun sumber tersebut mengungkap beberapa spesifikasi inti ponsel Huawei Mate 30 Pro. Bocoran spesifikasi ini menjadi bocoran awal perangkat besutan Huawei tersebut.
Satu spesifikasi yang paling mencolok, seperti disebutkan di awal, adalah konfigurasi kamera belakang yang tampak berbeda dengan Huawei Mate 20 Pro.Baca juga: Huawei Klaim Kapalkan 10 Juta Ponsel Mate 20
Playfuldroid Ilustrasi render Huawei Mate 30 Pro
Jika Huawei Mate 20 Pro mengusung konfigurasi triple-camera, Huawei Mate 30 Pro diyakini bakal mengusung konfigurasi quad-camera yang juga ditempatkan di dalam satu bidang kotak.
Uniknya, ada satu LED flash yang terpatri di tengah bidang persegi tersebut, menemani keempat kamera yang ada di sekelilingnya.Empat kamera itu terdiri atas satu kamera utama, satu kamera dengan lensa ultra-wide, satu kamera dengan lensa telefoto, dan satu lagi sensor ToF 3D.
Belum diketahui berapa resolusi masing-masing kamera.
Pada sisi layar, Huawei Mate 30 Pro disinyalir bakal mengusung panel AMOLED berukuran 6,7 inci dan menggunakan lubang kamera di bagian depan, seperti seri Samsung Galaxy S10.
Untuk spesifikasi hardware, Mate 30 Pro dilaporkan bakal ditenagai oleh System-on-Chip (SoC) Kirin 985 dipadukan dengan chip moden Balong 5000 5G. Meski sudah 5G, varian 4G ponsel tersebut disinyalir juga bakal disediakan oleh Huawei.
Ada pula baterai dengan kapasitas 4.200 mAh dengan dukungan fast charging 55W. Ponsel ini juga mendukung pengisian daya nirkabel dan reverse wireless charging dengan kecepatan pengisian daya 10W.
Kemungkinan, Huawei Mate 30 Pro akan diluncurkan pada paruh kedua tahun 2019, seperti jadwal peluncuran Huawei Mate 20 Pro Oktober lalu, sebagaimana dirangkum KompasTekno dari GSMArena, Senin (6/5/2019).",https://asset.kompas.com/crop/99x81:867x593/750x500/data/photo/2019/03/22/2509096629.jpg,06/05/2019
9,,Google Bakal Hapus Riwayat Internet dan Lokasi secara Otomatis,"KOMPAS.com - Google berencana menghadirkan fitur penghapusan riwayat lokasi serta aktivitas internet secara otomatis. Fitur ini dibuat sebagai upaya Google memberikan kontrol data pribadi serta privasi penggunanya.Saat ini fitur tersebut sudah tersedia, namun pengguna harus menghapusnya secara manua satu per satu.
Nantinya, setelah fitur ini diluncurkan, pengguna bisa menentukan berapa lama riwayat lokasi dan aktivitas ber-internet ingin dihapus secara otomatis.Untuk melakukannya, bakal tiga opsi tambahan di menu pengaturan ""Activity controls"" yang ada di halaman akun Google, sebagaimana ilustrasi berikut.
 
KOMPAS.com/Bill Clinten Ilustrasi opsi tambahan fitur penghapusan riwayat otomatis Google
 
Tampak dari gambar di tengah dan yang paling kanan, nantinya pengguna bisa mengklik tombol ""Choose to delete automatically"" untuk memanfaatkan fitur penghapusan secara otomatis.Baca juga: Cara Hapus Riwayat Pencarian Google di Desktop dan Mobile
Setelah itu, ada tiga opsi yang pengguna bisa pilih, yaitu menghapus riwayat secara manual, menghapus riwayat secara otomatis setelah 18 bulan, dan yang terakhir menghapus riwayat secara otomatis setelah 3 bulan tersimpan di Google.
Sebelumnya, tiga opsi ini tidak tersedia di pengaturan ""Web & App Activity"" dan ""Location History"", sebagaimana tampak dari gambar paling kiri.
Meski sudah dibeberkan fungsi fiturnya, sayangnya, belum bisa dipastikan kapan fitur ini meluncur ke pengguna umum secara resmi.
Sebab, Google hanya menyebut pembaruan ini bakal datang dalam beberapa minggu ke depan.
Terlepas dari itu, fitur penghapusan data atau riwayat secara otomatis ini belum menyambangi fitur riwayat data di layanan Google lainnya.
Dengan kata lain, untuk saat ini, hanya riwayat lokasi serta riwayat aktivitas web dan aplikasi saja yang bakal disambangi fitur penghapusan otomatis ini, sebagaimana dirangkum KompasTekno dari BBC, Senin (6/5/2019),
Belum diketahui kapan pengguna mendapatkan fitur penghapusan otomatis ini beberapa layanan Google, seperti aktivitas streaming di YouTube dan histori perintah suara yang terekam di Google Assistant.",https://asset.kompas.com/crop/87x0:903x544/750x500/data/photo/2019/05/02/3303982662.png,06/05/2019
